run,year_model,base_step,policy_id,enactment_year,rel_year,p_yes,likert,category,n_variants
continuous_d23,1931,150975,US-1933-GLASS-STEAGALL,1933,-2,0.04939145901877444,-0.04432571671505506,Economy & Finance,100
continuous_d23,1931,150975,US-1933-PROHIBITION-REPEAL,1933,-2,0.04921075820857526,-0.06079744794701941,Civil Liberties,100
continuous_d23,1931,150975,US-1933-SECURITIES-ACT,1933,-2,0.04943306315357238,-0.0433631914036131,Economy & Finance,99
continuous_d23,1931,150975,US-1934-EXCHANGE-ACT,1934,-3,0.04492902397727394,-0.05191671356152417,Economy & Finance,100
continuous_d23,1931,150975,US-1934-IRA,1934,-3,0.06423367461151734,-0.05023347334511272,Civil Rights,100
continuous_d23,1931,150975,US-1934-NATIONAL-HOUSING-ACT,1934,-3,0.061962765009681835,-0.04717770030560958,Health/Welfare/Educ,100
continuous_d23,1931,150975,US-1935-NIRA-SCHECHTER,1935,-4,0.05795097163914633,-0.0573264324938922,Democracy & Governance,100
continuous_d23,1931,150975,US-1935-NLRA,1935,-4,0.053551281037176345,-0.04932840422089861,Labor,100
continuous_d23,1931,150975,US-1935-SOCIAL-SECURITY,1935,-4,0.04926934222955651,-0.056722734339035484,Health/Welfare/Educ,100
continuous_d23,1931,150975,US-1936-AAA-BUTLER,1936,-5,0.05340453471729461,-0.06250680360423784,Democracy & Governance,100
continuous_d23,1931,150975,US-1937-JONES-LAUGHLIN,1937,-6,0.0530913929224382,-0.05341141397547161,Labor,100
continuous_d23,1931,150975,US-1937-WEST-COAST-HOTEL,1937,-6,0.07303541407359482,-0.056975151788354744,Labor,100
continuous_d23,1931,150975,US-1938-FDCA,1938,-7,0.05789592461835504,-0.05402407894322317,Economy & Finance,100
continuous_d23,1931,150975,US-1938-FLSA,1938,-7,0.04807401858269628,-0.0547231782958291,Labor,100
continuous_d23,1931,150975,US-1941-EO8802,1941,-10,0.10887512931080201,-0.04708420438460441,Civil Rights,100
continuous_d23,1931,150975,US-1942-WICKARD,1942,-11,0.06374502225775529,-0.05057941432449395,Democracy & Governance,100
continuous_d23,1931,150975,US-1944-GI-BILL,1944,-13,0.05735988549335708,-0.054729064935341507,Health/Welfare/Educ,100
continuous_d23,1931,150975,US-1944-KOREMATSU,1944,-13,0.05033340634421905,-0.061972220796334423,Civil Rights,100
continuous_d23,1931,150975,US-1946-EMPLOYMENT-ACT,1946,-15,0.06747684984562684,-0.05710568790013234,Economy & Finance,100
continuous_d23,1931,150975,US-1947-NATIONAL-SECURITY-ACT,1947,-16,0.055280247650882186,-0.04992879747389265,Natl Security & Foreign,100
continuous_d23,1931,150975,US-1947-TAFT-HARTLEY,1947,-16,0.05020272817681407,-0.05608592142158627,Labor,100
continuous_d23,1931,150975,US-1948-EO9981,1948,-17,0.0677710899119306,-0.05534564342285143,Civil Rights,100
continuous_d23,1931,150975,US-1930-SMOOT-HAWLEY,1930,1,0.07638918367350983,-0.05931742620673442,Economy & Finance,100
continuous_d23,1931,150975,US-1932-RFC,1932,-1,0.05984368004571622,-0.051086011196678036,Economy & Finance,100
continuous_d23,1931,150975,US-1932-NORRIS-LAGUARDIA,1932,-1,0.07157648330372057,-0.05563069160857207,Labor,100
continuous_d23,1931,150975,US-1933-CCC,1933,-2,0.058347244539763386,-0.061677123133009035,Democracy & Governance,100
continuous_d23,1931,150975,US-1933-FERA,1933,-2,0.05202532015004254,-0.045051742894190956,Health/Welfare/Educ,99
continuous_d23,1931,150975,US-1933-HOME-OWNERS-LOAN,1933,-2,0.05578433403532847,-0.06419307956854566,Health/Welfare/Educ,99
continuous_d23,1931,150975,US-1934-NFA,1934,-3,0.03992652389979785,-0.04896571527754982,Criminal Justice & Guns,100
continuous_d23,1931,150975,US-1935-PUHCA,1935,-4,0.06980680524971705,-0.040389917455539354,Environment & Energy,100
continuous_d23,1931,150975,US-1936-RURAL-ELECTRIFICATION,1936,-5,0.06204310926527532,-0.04782682145487142,Environment & Energy,100
continuous_d23,1931,150975,US-1939-HATCH-ACT,1939,-8,0.061716015909595454,-0.04806087614819056,Civil Rights,100
continuous_d23,1931,150975,US-1940-SELECTIVE-TRAINING,1940,-9,0.06555087506260592,-0.056862451859232624,Natl Security & Foreign,100
continuous_d23,1931,150975,US-1940-SMITH-ACT,1940,-9,0.05772262377062583,-0.04069503636118396,Natl Security & Foreign,99
